"","code","coding_system","description","entity","list_name","upload_date","analysis"
"30","N330500","Read","Drug-induced osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"31","N330600","Read","Postoophorectomy osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"32","N330700","Read","Postsurgical malabsorption osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"33","N330800","Read","Localized osteoporosis - Lequesne","diagnostic","93 - osteoporosis","2014-01-30","Main"
"34","N330900","Read","Osteoporosis in multiple myelomatosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"35","N330A00","Read","Osteoporosis in endocrine disorders","diagnostic","93 - osteoporosis","2014-01-30","Main"
"36","N330B00","Read","Vertebral osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"37","N330C00","Read","Osteoporosis localized to spine","diagnostic","93 - osteoporosis","2014-01-30","Main"
"38","N330D00","Read","Osteoporosis due to corticosteroids","diagnostic","93 - osteoporosis","2014-01-30","Main"
"39","N330z00","Read","Osteoporosis NOS","diagnostic","93 - osteoporosis","2014-01-30","Main"
"40","N331.14","Read","Osteoporotic vertebral collapse","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"41","N331200","Read","Postoophorectomy osteoporosis with pathological fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
"42","N331300","Read","Osteoporosis of disuse with pathological fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
"43","N331400","Read","Postsurgical malabsorption osteoporosis with path fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
"44","N331500","Read","Drug-induced osteoporosis with pathological fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
"45","N331600","Read","Idiopathic osteoporosis with pathological fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
"46","N331800","Read","Osteoporosis + pathological fracture lumbar vertebrae","diagnostic","93 - osteoporosis","2014-01-30","Main"
"47","N331900","Read","Osteoporosis + pathological fracture thoracic vertebrae","diagnostic","93 - osteoporosis","2014-01-30","Main"
"48","N331A00","Read","Osteoporosis + pathological fracture cervical vertebrae","diagnostic","93 - osteoporosis","2014-01-30","Main"
"49","N331B00","Read","Postmenopausal osteoporosis with pathological fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
"50","N331H00","Read","Collapse of cervical vertebra due to osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"51","N331J00","Read","Collapse of lumbar vertebra due to osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"52","N331K00","Read","Collapse of thoracic vertebra due to osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"53","N331L00","Read","Collapse of vertebra due to osteoporosis NOS","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"54","N331M00","Read","Fragility fracture due to unspecified osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"55","N374600","Read","Osteoporotic kyphosis","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"56","NyuB000","Read","[X]Other osteoporosis with pathological fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
"57","NyuB100","Read","[X]Other osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"58","NyuB200","Read","[X]Osteoporosis in other disorders classified elsewhere","diagnostic","93 - osteoporosis","2014-01-30","Main"
"59","NyuB800","Read","[X]Unspecified osteoporosis with pathological fracture","diagnostic","93 - osteoporosis","2014-01-30","Main"
