"","code","coding_system","description","entity","list_name","upload_date","analysis"
"27","7A22000","Read","Percutaneous transluminal angioplasty of carotid artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"28","7A27C00","Read","Operation on aneurysm of subclavian artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"29","7A27D00","Read","Operation on aneurysm of axillary artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"30","7A27E00","Read","Operation on aneurysm of brachial artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"31","7A28000","Read","Percutaneous transluminal angioplasty of subclavian artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"32","7A28100","Read","Percutaneous transluminal angioplasty of brachial artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"33","7A28200","Read","Percutaneous transluminal angioplasty of vertebral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"34","7A28C00","Read","Percutaneous transluminal angioplasty of axillary artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"35","7A31300","Read","Operation on aneurysm of renal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"36","7A32000","Read","Percutaneous transluminal angioplasty of renal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"37","7A34C00","Read","Operation on aneurysm of coeliac artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"38","7A34D00","Read","Operation on aneurysm of superior mesenteric artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"39","7A34E00","Read","Operation on aneurysm of inferior mesenteric artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"40","7A34F00","Read","Operation on aneurysm of suprarenal artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"41","7A34K00","Read","Operation on aneurysm visceral branch of abdominal aorta NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"42","7A35000","Read","Percutaneous transluminal angioplasty of coeliac artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"43","7A35300","Read","Percutaneous transluminal angioplasty suprarenal artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"44","7A40.00","Read","Replacement of aneurysmal iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"45","7A40000","Read","Emerg replace aneurysm iliac art by iliac/femoral art anast","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"46","7A40100","Read","Replace aneurysmal iliac art by iliac/femoral art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"47","7A40.11","Read","Replacement of aneurysmal iliac artery by anastomosis","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"48","7A40200","Read","Emerg replace aneurysmal iliac artery by fem/fem art anast","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"49","7A40300","Read","Replace aneurysmal iliac artery by fem/fem artery anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"50","7A40600","Read","Emerg replace aneurysm leg artery by aorta/com fem art anast","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"51","7A40700","Read","Emerg replace aneurysm leg artery by aorta/sup fem art anast","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"52","7A40800","Read","Emerg replace aneurysm iliac artery by iliac/iliac art anast","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"53","7A40900","Read","Replace aneurysm com iliac a by aorta/com iliac a anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"54","7A40A00","Read","Replace aneurysm iliac art by aorta/ext iliac art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"55","7A40B00","Read","Replace aneurysm leg artery by aorta/com fem art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"56","7A40C00","Read","Replace aneurysm leg artery by aorta/sup fem art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"57","7A40D00","Read","Replace aneurysm iliac artery by iliac/iliac art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"58","7A40y00","Read","Other specified replacement of aneurysmal iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"59","7A40z00","Read","Replacement of aneurysmal iliac artery NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"60","7A41.00","Read","Other bypass of iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"61","7A41100","Read","Bypass iliac artery by iliac/femoral artery anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"62","7A41.11","Read","Other bypass of iliac artery by anastomosis","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"63","7A41200","Read","Emerg bypass iliac artery by femoral/femoral art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"64","7A41300","Read","Bypass iliac artery by femoral/femoral art anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"65","7A41500","Read","Emerg bypass iliac artery by aorta/ext iliac art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"66","7A41800","Read","Emerg bypass iliac artery by iliac/iliac art anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"67","7A41900","Read","Bypass common iliac artery by aorta/com iliac art anast NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"68","7A41A00","Read","Bypass iliac artery by aorta/ext iliac art anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"69","7A41D00","Read","Bypass iliac artery by iliac/iliac artery anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"70","7A41E00","Read","Emergency bypass of iliac artery by unspecified anastomosis","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"71","7A41y00","Read","Other specified other bypass of iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"72","7A41z00","Read","Other bypass of iliac artery NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"73","7A43200","Read","Operation on aneurysm of iliac artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"74","7A44000","Read","Percutaneous transluminal angioplasty of iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"75","7A45.00","Read","Emergency replacement of aneurysmal femoral/popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"76","7A45000","Read","Emerg replace aneurysm fem art by fem/pop art anast c prosth","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"77","7A45100","Read","Emerg replace aneurysm pop art by pop/pop art anast c prosth","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"78","7A45.11","Read","Emerg replacement aneurysmal femoral/popl art by anastomosis","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"79","7A45.12","Read","Emergency replacement of aneurysmal common femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"80","7A45.13","Read","Emergency replacement of aneurysmal deep femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"81","7A45.14","Read","Emergency replacement of aneurysmal popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"82","7A45.15","Read","Emergency replacement aneurysmal superficial femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"83","7A45200","Read","Emerg replace aneurysm fem art by fem/pop anast c vein graft","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"84","7A45400","Read","Emerg replace aneurysm femoral art by fem/tib a anast c pros","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"85","7A45500","Read","Emerg replace aneurysm pop art by pop/tib art anast c prosth","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"86","7A45700","Read","Emerg replace aneurysm pop art by pop/tib anast c vein graft","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"87","7A45800","Read","Emerg replace aneurysm fem art by fem/peron a anast c prosth","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"88","7A45900","Read","Emerg replace aneurysm pop art by pop/peron a anast c prosth","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"89","7A45C00","Read","Emerg replace aneurysm fem artery by fem/fem art anastomosis","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"90","7A45D00","Read","Emerg replace aneurysm pop artery by pop/fem art anastomosis","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"91","7A45y00","Read","Emergency replacement aneurysmal femoral/popliteal artery OS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"92","7A45z00","Read","Emergency replacement aneurysmal femoral/popliteal art NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"93","7A46.00","Read","Other replacement of aneurysmal femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"94","7A46000","Read","Replace aneurysm fem art by fem/pop art anastom c prosth NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"95","7A46100","Read","Replace aneurysm pop art by pop/pop art anastom c prosth NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"96","7A46.11","Read","Other replacement aneurysmal femoral artery by anastomosis","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"97","7A46.12","Read","Other replacement of aneurysmal common femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"98","7A46.13","Read","Other replacement of aneurysmal deep femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"99","7A46.14","Read","Other replacement of aneurysmal popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"100","7A46.15","Read","Other replacement of aneurysmal superficial femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"101","7A46200","Read","Replace aneurysm fem art by fem/pop a anast c vein graft NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"102","7A46300","Read","Replace aneurysm pop art by pop/pop a anast c vein graft NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"103","7A46400","Read","Replace aneurysm fem art by fem/tib art anast c prosth NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"104","7A46500","Read","Replace aneurysm pop art by pop/tib art anast c prosth NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"105","7A46600","Read","Replace aneurysm fem art by fem/tib a anast c vein graft NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"106","7A46700","Read","Replace aneurysm pop art by pop/tib a anast c vein graft NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"107","7A46800","Read","Replace aneurysm fem art by fem/peron art anast c prosth NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"108","7A46900","Read","Replace aneurysm pop art by pop/peron art anast c prosth NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"109","7A46C00","Read","Replace aneurysm fem artery by fem/fem art anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"110","7A46D00","Read","Replace aneurysm popliteal artery by pop/fem anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"111","7A46y00","Read","Other replacement of aneurysmal femoral/popliteal artery OS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"112","7A46z00","Read","Other replacement of aneurysmal femoral/popliteal artery NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"113","7A47.00","Read","Other emergency bypass of femoral artery or popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"114","7A47.12","Read","Other emergency bypass of common femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"115","7A47.13","Read","Other emergency bypass of deep femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"116","7A47.15","Read","Other emergency bypass of superficial femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"117","7A47.16","Read","Other emergency bypass of femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"118","7A47C00","Read","Emerg bypass femoral artery by fem/fem art anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"119","7A48.00","Read","Other bypass of femoral artery or popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"120","7A48000","Read","Bypass femoral artery by fem/pop art anast c prosthesis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"121","7A48.12","Read","Other bypass of common femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"122","7A48.13","Read","Other bypass of deep femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"123","7A48.14","Read","Other bypass of femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"124","7A48.16","Read","Other bypass of superficial femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"125","7A48200","Read","Bypass femoral artery by fem/pop art anast c vein graft NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"126","7A48400","Read","Bypass femoral artery by fem/tib art anast c prosthesis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"127","7A48600","Read","Bypass femoral artery by fem/tib art anast c vein graft NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"128","7A48800","Read","Bypass femoral artery by fem/peron a anast c prosthesis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"129","7A48A00","Read","Bypass femoral artery by fem/peron a anast c vein graft NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"130","7A48C00","Read","Bypass femoral artery by femoral/femoral art anastomosis NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"131","7A48y00","Read","Other bypass of femoral artery or popliteal artery OS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"132","7A48z00","Read","Other bypass of femoral artery or popliteal artery NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"133","7A4A400","Read","Ligation of aneurysm of popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"134","7A4A500","Read","Operation on aneurysm of femoral artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"135","7A4B000","Read","Percutaneous transluminal angioplasty of femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"136","7A4B100","Read","Percutaneous transluminal angioplasty of popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"137","9N4h.00","Read","DNA - Did not attend peripheral vascular disease clinic","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"138","C109F11","Read","Type II diabetes mellitus with peripheral angiopathy","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"139","C109F12","Read","Type 2 diabetes mellitus with peripheral angiopathy","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"140","C10EG00","Read","Type 1 diabetes mellitus with peripheral angiopathy","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"141","C10FF00","Read","Type 2 diabetes mellitus with peripheral angiopathy","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"142","C10FF11","Read","Type II diabetes mellitus with peripheral angiopathy","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"143","G711.00","Read","Thoracic aortic aneurysm which has ruptured","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"144","G711.11","Read","Ruptured thoracic aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"145","G712.00","Read","Thoracic aortic aneurysm without mention of rupture","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"146","G713.00","Read","Abdominal aortic aneurysm which has ruptured","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"147","G713000","Read","Ruptured suprarenal aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"148","G713.11","Read","Ruptured abdominal aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"149","G714.00","Read","Abdominal aortic aneurysm without mention of rupture","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"150","G714000","Read","Juxtarenal aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"151","G714.11","Read","AAA - Abdominal aortic aneurysm without mention of rupture","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"152","G715.00","Read","Ruptured aortic aneurysm NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"153","G715000","Read","Thoracoabdominal aortic aneurysm; ruptured","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"154","G716000","Read","Thoracoabdominal aortic aneurysm; without mention of rupture","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"155","G718.00","Read","Leaking abdominal aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"156","G720.00","Read","Aneurysm of artery of arm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"157","G720000","Read","Aneurysm of brachial artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"158","G720100","Read","Aneurysm of radial artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"159","G720200","Read","Aneurysm of ulnar artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"160","G720z00","Read","Aneurysm of arm artery NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"161","G722.00","Read","Aneurysm of iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"162","G722000","Read","Aneurysm of common iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"163","G722100","Read","Aneurysm of external iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"164","G722200","Read","Aneurysm of internal iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"165","G722z00","Read","Aneurysm of iliac artery NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"166","G723.00","Read","Aneurysm of leg artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"167","G723000","Read","Aneurysm of femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"168","G723100","Read","Aneurysm of popliteal artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"169","G723200","Read","Aneurysm of anterior tibial artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"170","G723300","Read","Aneurysm of dorsalis pedis artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"171","G723400","Read","Aneurysm of posterior tibial artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"172","G723500","Read","Ruptured popliteal artery aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"173","G723600","Read","Post radiological femoral false aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"174","G723z00","Read","Aneurysm of leg artery NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"175","G72y400","Read","Aneurysm of subclavian artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"176","G72y500","Read","Aneurysm of splenic artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"177","G72y600","Read","Aneurysm of axillary artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"178","G72y700","Read","Aneurysm of coeliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"179","G72y800","Read","Aneurysm of superior mesenteric artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"180","G72y900","Read","Aneurysm of inferior mesenteric artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"181","G72yA00","Read","Aneurysm of hepatic artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"182","G73..00","Read","Other peripheral vascular disease","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"183","G731.00","Read","Thromboangiitis obliterans","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"184","G731000","Read","Buerger's disease","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"185","G73y.00","Read","Other specified peripheral vascular disease","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"186","G73y000","Read","Diabetic peripheral angiopathy","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"187","G73yz00","Read","Other specified peripheral vascular disease NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"188","G73z.00","Read","Peripheral vascular disease NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"189","G73z000","Read","Intermittent claudication","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"190","G73zz00","Read","Peripheral vascular disease NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"191","G76z100","Read","Femoral artery occlusion","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"192","G76z200","Read","Popliteal artery occlusion","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"193","Gyu7400","Read","[X]Other specified peripheral vascular diseases","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"194","4411","OXMIS","ANEURYSM THORACIC AORTA","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"195","4412","OXMIS","ANEURYSM ABDOMINAL AORTA","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"196","4412N","OXMIS","ANEURYSM ABDOMINAL","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"197","442 H","OXMIS","ANEURYSM HEPATIC ARTERY","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"198","442 LC","OXMIS","RUPTURED COMMON ILIAC ANEURYSM","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"199","442 PL","OXMIS","POPLITEAL ANEURYSM","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"200","4439A","OXMIS","INTERMITTENT CLAUDICATION","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"201","4439GD","OXMIS","PVD (PERIPHERAL VASCULAR DISEASE)","diagnostic","81 - peripheral arterial disease","2014-01-30","Main"
"202","K5523","OXMIS","WIRING ANEURYSM ABDOMINAL AORTA","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"203","K552 EA","OXMIS","EXCISION ANEURYSM ABDOMINAL AORTA","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
