PCD_ID	victim	fulltext	primary_research	methods_strategy	methods_codes	code_list	all_codes	available_on_request	Title	URL	Description	Details	ShortDetails	Resource	Type	Identifiers	Db	EntrezUID	Properties
35	Rosa	1	1	0	0	0	0	0	Risk of fracture in patients with muscular dystrophies.	/pubmed/23948807	"Pouwels S, de Boer A, Leufkens HG, Weber WE, Cooper C, van Onzenoort HA, de Vries F."	Osteoporos Int. 2013 Aug 15. [Epub ahead of print]	Osteoporos Int.  2013	PubMed	citation	PMID:23948807	pubmed	23948807	create date:2013/08/21 | first author:Pouwels S
37	Dave	1	1	0	0	0	0	0	Impact of lipid-lowering therapy on the prevalence of dyslipidaemia in patients at high-risk of cardiovascular events in UK primary care - a retrospective database study.	/pubmed/23944233	"Jameson K, Amber V, D'Oca K, Mills D, Giles A, Ambegaonkar B."	Int J Clin Pract. 2013 Aug 14. doi: 10.1111/ijcp.12238. [Epub ahead of print]	Int J Clin Pract.  2013	PubMed	citation	PMID:23944233	pubmed	23944233	create date:2013/08/16 | first author:Jameson K
39	Ivan	1	1	0	0	0	0	0	SLCO1B1 Genetic Variant Associated With Statin-Induced Myopathy: A Proof of Concept Study Using the Clinical Practice Research Datalink (CPRD).	/pubmed/23942138	"Carr DF, O'Meara H, Jorgensen AL, Campbell J, Hobbs M, McCann G, van Staa T, Pirmohamed M."	Clin Pharmacol Ther. 2013 Aug 13. doi: 10.1038/clpt.2013.161. [Epub ahead of print]	Clin Pharmacol Ther.  2013	PubMed	citation	PMID:23942138	pubmed	23942138	create date:2013/08/15 | first author:Carr DF
42	David	0	1	1	1	1	1	1	Antithrombotic drugs and risk of hemorrhagic stroke in the general population.	/pubmed/23843464	"García-Rodríguez LA, Gaist D, Morton J, Cookson C, González-Pérez A."	Neurology. 2013 Aug 6;81(6):566-74. doi: 10.1212/WNL.0b013e31829e6ffa. Epub 2013 Jul 10.	Neurology.  2013	PubMed	citation	PMID:23843464	pubmed	23843464	create date:2013/07/12 | first author:García-Rodríguez LA
44	Dave	0	1	NA	NA	NA	NA	NA	Association of childhood attention-deficit/hyperactivity disorder with atopic diseases and skin infections? A matched case-control study using the General Practice Research Database.	/pubmed/23886227	"Hak E, de Vries TW, Hoekstra PJ, Jick SS."	Ann Allergy Asthma Immunol. 2013 Aug;111(2):102-106.e2. doi: 10.1016/j.anai.2013.05.023. Epub 2013 Jun 21.	Ann Allergy Asthma Immunol.  2013	PubMed	citation	PMID:23886227	pubmed	23886227	create date:2013/07/28 | first author:Hak E
45	Rosa	1	1	1	0	0	0	0	Potential of general practice data for congenital anomaly research: Comparison with registry data in the united kingdom.	/pubmed/23913362	"Sokal R, Fleming KM, Tata LJ."	Birth Defects Res A Clin Mol Teratol. 2013 Aug;97(8):546-53. doi: 10.1002/bdra.23150. Epub 2013 Aug 2.	Birth Defects Res A Clin Mol Teratol.  2013	PubMed	citation	PMID:23913362	pubmed	23913362	create date:2013/08/06 | first author:Sokal R
46	Evan	1	1	1	1	0	0	0	Adverse events recorded in English primary care: observational study using the General Practice Research Database.	/pubmed/23972194	"Tsang C, Bottle A, Majeed A, Aylin P."	Br J Gen Pract. 2013 Aug;63(613):534-42. doi: 10.3399/bjgp13X670660.	Br J Gen Pract.  2013	PubMed	citation	PMID:23972194 | PMCID:PMC3722830	pubmed	23972194	create date:2013/08/27 | first author:Tsang C
47	Dave	0	1	NA	NA	NA	NA	NA	All-cause and cardiovascular mortality in middle-aged people with type 2 diabetes compared with people without diabetes in a large U.K. primary care database.	/pubmed/23435157	"Taylor KS, Heneghan CJ, Farmer AJ, Fuller AM, Adler AI, Aronson JK, Stevens RJ."	Diabetes Care. 2013 Aug;36(8):2366-71. doi: 10.2337/dc12-1513. Epub 2013 Feb 22.	Diabetes Care.  2013	PubMed	citation	PMID:23435157 | PMCID:PMC3714501	pubmed	23435157	create date:2013/02/26 | first author:Taylor KS
50	Edmore	1	1	1	0	0	1	0	First Diagnosis and Management of Incontinence in Older People with and without Dementia in Primary Care: A Cohort Study Using The Health Improvement Network Primary Care Database.	/pubmed/24015113	"Grant RL, Drennan VM, Rait G, Petersen I, Iliffe S."	PLoS Med. 2013 Aug;10(8):e1001505. doi: 10.1371/journal.pmed.1001505. Epub 2013 Aug 27.	PLoS Med.  2013	PubMed	citation	PMID:24015113 | PMCID:PMC3754889	pubmed	24015113	create date:2013/09/10 | first author:Grant RL
54	Dave	1	1	0	0	0	0	1	Androgen deprivation therapy and risk of acute kidney injury in patients with prostate cancer.	/pubmed/23860987	"Lapi F, Azoulay L, Niazi MT, Yin H, Benayoun S, Suissa S."	JAMA. 2013 Jul 17;310(3):289-96. doi: 10.1001/jama.2013.8638.	JAMA.  2013	PubMed	citation	PMID:23860987	pubmed	23860987	create date:2013/07/19 | first author:Lapi F
59	Ivan	1	1	0	0	0	0	0	Patterns of risk of cancer in patients with metal-on-metal hip replacements versus other bearing surface types: a record linkage study between a prospective joint registry and general practice electronic health records in England.	/pubmed/23861740	"Lalmohamed A, MacGregor AJ, de Vries F, Leufkens HG, van Staa TP."	PLoS One. 2013 Jul 4;8(7):e65891. doi: 10.1371/journal.pone.0065891. Print 2013.	PLoS One.  2013	PubMed	citation	PMID:23861740 | PMCID:PMC3701644	pubmed	23861740	create date:2013/07/19 | first author:Lalmohamed A
62	Ivan	1	1	1	0	0	0	0	Risk factors for falls with use of acid-suppressive drugs.	/pubmed/23676267	"Cea-Soriano L, Johansson S, García Rodríguez LA."	Epidemiology. 2013 Jul;24(4):600-7. doi: 10.1097/EDE.0b013e318294bec6.	Epidemiology.  2013	PubMed	citation	PMID:23676267	pubmed	23676267	create date:2013/05/17 | first author:Cea-Soriano L
63	Edmore	1	1	0	0	0	0	0	Impact of UK Medical Eligibility Criteria implementation on prescribing of combined hormonal contraceptives.	/pubmed/23299629	"Briggs PE, Praet CA, Humphreys SC, Zhao C."	J Fam Plann Reprod Health Care. 2013 Jul;39(3):190-6. doi: 10.1136/jfprhc-2012-100376. Epub 2013 Jan 7.	J Fam Plann Reprod Health Care.  2013	PubMed	citation	PMID:23299629 | PMCID:PMC3711363	pubmed	23299629	create date:2013/01/10 | first author:Briggs PE
66	Rosa	0	NA	NA	NA	NA	NA	NA	Antidepressant use during early pregnancy and the risk of congenital anomalies.	/pubmed/23744675	"Vasilakis-Scaramozza C, Aschengrau A, Cabral H, Jick SS."	Pharmacotherapy. 2013 Jul;33(7):693-700. doi: 10.1002/phar.1211. Epub 2013 Jun 6.	Pharmacotherapy.  2013	PubMed	citation	PMID:23744675	pubmed	23744675	create date:2013/06/08 | first author:Vasilakis-Scaramozza C
67	Ivan	0	1	0	0	0	0	0	Tranexamic acid and thrombosis.	/pubmed/23951593	[No authors listed]	Prescrire Int. 2013 Jul;22(140):182-3.	Prescrire Int.  2013	PubMed	citation	PMID:23951593	pubmed	23951593	create date:2013/08/21
69	Ivan	1	1	0	0	0	0	0	Who receives prescriptions for smoking cessation medications? An association rule mining analysis using a large primary care database.	/pubmed/22246781	"Huang Y, Britton J, Hubbard R, Lewis S."	Tob Control. 2013 Jul;22(4):274-9. doi: 10.1136/tobaccocontrol-2011-050124. Epub 2012 Jan 13.	Tob Control.  2013	PubMed	citation	PMID:22246781	pubmed	22246781	create date:2012/01/17 | first author:Huang Y
74	Edmore	1	1	0	0	0	0	0	The efficiency of cardiovascular risk assessment: do the right patients get statin treatment?	/pubmed/23735939	"van Staa TP, Smeeth L, Ng ES, Goldacre B, Gulliford M."	Heart. 2013 Jun 4. [Epub ahead of print]	Heart.  2013	PubMed	citation	PMID:23735939	pubmed	23735939	create date:2013/06/06 | first author:van Staa TP
79	Ivan	1	1	1	1	0	0	0	Cause-specific mortality of people with Barrett's esophagus compared with the general population: a population-based cohort study.	/pubmed/23583429	"Solaymani-Dodaran M, Card TR, West J."	"Gastroenterology. 2013 Jun;144(7):1375-83, 1383.e1. doi: 10.1053/j.gastro.2013.02.050. Epub 2013 Apr 9."	Gastroenterology.  2013	PubMed	citation	PMID:23583429	pubmed	23583429	create date:2013/04/16 | first author:Solaymani-Dodaran M
86	Rosa	1	1	1	1	1	0	0	"Completeness and diagnostic validity of recording acute myocardial infarction events in primary care, hospital care, disease registry, and national mortality records: cohort study."	/pubmed/23692896	"Herrett E, Shah AD, Boggon R, Denaxas S, Smeeth L, van Staa T, Timmis A, Hemingway H."	BMJ. 2013 May 20;346:f2350. doi: 10.1136/bmj.f2350.	BMJ.  2013	PubMed	citation	PMID:23692896	pubmed	23692896	create date:2013/05/23 | first author:Herrett E
88	Evan	1	1	1	0	0	0	0	Safety of antidepressants in adults aged under 65: protocol for a cohort study using a large primary care database.	/pubmed/23663769	"Coupland C, Morriss R, Arthur A, Moore M, Hill T, Hippisley-Cox J."	BMC Psychiatry. 2013 May 10;13:135. doi: 10.1186/1471-244X-13-135.	BMC Psychiatry.  2013	PubMed	citation	PMID:23663769 | PMCID:PMC3653796	pubmed	23663769	create date:2013/05/15 | first author:Coupland C
91	Rosa	1	1	0	1	1	0	0	COX-2 selective nonsteroidal anti-inflammatory drugs and risk of gastrointestinal tract complications and myocardial infarction: an instrumental variable analysis.	/pubmed/23532054	"Davies NM, Smith GD, Windmeijer F, Martin RM."	Epidemiology. 2013 May;24(3):352-62. doi: 10.1097/EDE.0b013e318289e024.	Epidemiology.  2013	PubMed	citation	PMID:23532054	pubmed	23532054	create date:2013/03/28 | first author:Davies NM
92	Edmore	1	1	1	0	0	0	0	The impact of treatment non-compliance on mortality in people with type 1 diabetes.	/pubmed/23157988	"Currie CJ, Peyrot M, Morgan CL, Poole CD, Jenkins-Jones S, Rubin RR, Burton CM, Evans M."	J Diabetes Complications. 2013 May-Jun;27(3):219-23. doi: 10.1016/j.jdiacomp.2012.10.006. Epub 2012 Nov 13.	J Diabetes Complications.  2013	PubMed	citation	PMID:23157988	pubmed	23157988	create date:2012/11/20 | first author:Currie CJ
93	Ivan	1	1	0	0	0	0	0	Opioid use for noncancer pain and risk of myocardial infarction amongst adults.	/pubmed/23331508	"Li L, Setoguchi S, Cabral H, Jick S."	J Intern Med. 2013 May;273(5):511-26. doi: 10.1111/joim.12035. Epub 2013 Feb 16.	J Intern Med.  2013	PubMed	citation	PMID:23331508	pubmed	23331508	create date:2013/01/22 | first author:Li L
95	David	0	1	1	1	1	1	1	The determinants of cost-effectiveness potential: an historical perspective on lipid-lowering therapies.	/pubmed/23572442	"Refoios Camejo R, McGrath C, Miraldo M, Rutten F."	Pharmacoeconomics. 2013 May;31(5):445-54. doi: 10.1007/s40273-013-0041-x.	Pharmacoeconomics.  2013	PubMed	citation	PMID:23572442	pubmed	23572442	create date:2013/04/11 | first author:Refoios Camejo R
98	Ivan	1	1	1	0	0	0	0	Orlistat and the risk of acute liver injury: self controlled case series study in UK Clinical Practice Research Datalink.	/pubmed/23585064	"Douglas IJ, Langham J, Bhaskaran K, Brauer R, Smeeth L."	BMJ. 2013 Apr 12;346:f1936. doi: 10.1136/bmj.f1936.	BMJ.  2013	PubMed	citation	PMID:23585064 | PMCID:PMC3624963	pubmed	23585064	create date:2013/04/16 | first author:Douglas IJ
103	Rosa	1	1	0	0	1	1	0	Temporal growth and geographic variation in the use of laboratory tests by NHS general practices: using routine data to identify research priorities.	/pubmed/23540482	"Busby J, Schroeder K, Woltersdorf W, Sterne JA, Ben-Shlomo Y, Hay A, Hollingworth W."	Br J Gen Pract. 2013 Apr;63(609):e256-66. doi: 10.3399/bjgp13X665224.	Br J Gen Pract.  2013	PubMed	citation	PMID:23540482 | PMCID:PMC3609473	pubmed	23540482	create date:2013/04/02 | first author:Busby J
107	Rosa	1	1	0	0	0	0	0	Seizures in patients with Alzheimer's disease or vascular dementia: a population-based nested case-control analysis.	/pubmed/23215680	"Imfeld P, Bodmer M, Schuerch M, Jick SS, Meier CR."	Epilepsia. 2013 Apr;54(4):700-7. doi: 10.1111/epi.12045. Epub 2012 Dec 6.	Epilepsia.  2013	PubMed	citation	PMID:23215680	pubmed	23215680	create date:2012/12/12 | first author:Imfeld P
113	Evan	0	NA	NA	NA	NA	NA	NA	Asthma drugs and the risk of congenital anomalies.	/pubmed/23450814	"Vasilakis-Scaramozza C, Aschengrau A, Cabral HJ, Jick SS."	Pharmacotherapy. 2013 Apr;33(4):363-8. doi: 10.1002/phar.1213. Epub 2013 Feb 28.	Pharmacotherapy.  2013	PubMed	citation	PMID:23450814	pubmed	23450814	create date:2013/03/02 | first author:Vasilakis-Scaramozza C
118	Ivan	1	1	1	0	1	1	0	The UK National Health Service: delivering equitable treatment across the spectrum of coronary disease.	/pubmed/23481523	"Hawkins NM, Scholes S, Bajekal M, Love H, O'Flaherty M, Raine R, Capewell S."	Circ Cardiovasc Qual Outcomes. 2013 Mar 1;6(2):208-16. doi: 10.1161/CIRCOUTCOMES.111.000058. Epub 2013 Mar 12.	Circ Cardiovasc Qual Outcomes.  2013	PubMed	citation	PMID:23481523	pubmed	23481523	create date:2013/03/14 | first author:Hawkins NM
119	Ivan	1	1	0	0	0	0	0	Identifying patients with undetected gastro-oesophageal cancer in primary care: External validation of QCancer® (Gastro-Oesophageal).	/pubmed/23159533	"Collins GS, Altman DG."	Eur J Cancer. 2013 Mar;49(5):1040-8. doi: 10.1016/j.ejca.2012.10.023. Epub 2012 Nov 15.	Eur J Cancer.  2013	PubMed	citation	PMID:23159533	pubmed	23159533	create date:2012/11/20 | first author:Collins GS
124	David	1	1	0	0	0	0	0	Use of depot medroxyprogesterone acetate contraception and incidence of bone fracture.	/pubmed/23635623	"Lanza LL, McQuay LJ, Rothman KJ, Bone HG, Kaunitz AM, Harel Z, Ataher Q, Ross D, Arena PL, Wolter KD."	Obstet Gynecol. 2013 Mar;121(3):593-600. doi: 10.1097/AOG.0b013e318283d1a1.	Obstet Gynecol.  2013	PubMed	citation	PMID:23635623	pubmed	23635623	create date:2013/05/03 | first author:Lanza LL
129	Darren	1	0	NA	NA	NA	NA	NA	Management of adult attention deficit hyperactivity disorder in UK primary care: a survey of general practitioners.	/pubmed/23432851	"McCarthy S, Wilton L, Murray M, Hodgkins P, Asherson P, Wong IC."	Health Qual Life Outcomes. 2013 Feb 22;11:22. doi: 10.1186/1477-7525-11-22.	Health Qual Life Outcomes.  2013	PubMed	citation	PMID:23432851 | PMCID:PMC3598717	pubmed	23432851	create date:2013/02/26 | first author:McCarthy S
139	Darren	1	1	0	1	1	0	0	"Pain-related pharmacotherapy, healthcare resource use and costs in spinal cord injury patients prescribed pregabalin."	/pubmed/22945747	"Gore M, Brix Finnerup N, Sadosky A, Tai KS, Cappelleri JC, Mardekian J, George Rice C, Nieshoff E."	Spinal Cord. 2013 Feb;51(2):126-33. doi: 10.1038/sc.2012.97. Epub 2012 Sep 4.	Spinal Cord.  2013	PubMed	citation	PMID:22945747	pubmed	22945747	create date:2012/09/05 | first author:Gore M
143	Edmore	1	1	0	0	0	0	0	Exposure to bisphosphonates and risk of gastrointestinal cancers: series of nested case-control studies with QResearch and CPRD data.	/pubmed/23325866	"Vinogradova Y, Coupland C, Hippisley-Cox J."	BMJ. 2013 Jan 16;346:f114. doi: 10.1136/bmj.f114.	BMJ.  2013	PubMed	citation	PMID:23325866 | PMCID:PMC3546625	pubmed	23325866	create date:2013/01/18 | first author:Vinogradova Y
144	Dave	0	1	NA	NA	NA	NA	NA	Type 2 diabetes mellitus and survival in pancreatic adenocarcinoma: a retrospective cohort study.	/pubmed/23292900	"Hwang A, Narayan V, Yang YX."	Cancer. 2013 Jan 15;119(2):404-10. doi: 10.1002/cncr.27731. Epub 2012 Aug 1.	Cancer.  2013	PubMed	citation	PMID:23292900	pubmed	23292900	create date:2013/01/08 | first author:Hwang A
145	David	1	1	0	0	0	0	0	Smoking cessation interventions following acute coronary syndrome: a missed opportunity?	/pubmed/22952289	"Boggon R, Timmis A, Hemingway H, Raju S, Mondello Malvestiti F, Van Staa TP."	Eur J Prev Cardiol. 2013 Jan 10. [Epub ahead of print]	Eur J Prev Cardiol.  2013	PubMed	citation	PMID:22952289	pubmed	22952289	create date:2012/09/07 | first author:Boggon R
147	David	1	1	1	0	0	0	0	Trends in the prevalence of antipsychotic drug use among patients with Alzheimer's disease and other dementias including those treated with antidementia drugs in the community in the UK: a cohort study.	/pubmed/23299113	"Martinez C, Jones RW, Rietbrock S."	BMJ Open. 2013 Jan 7;3(1). doi:pii: e002080.  10.1136/bmjopen-2012-002080. Print 2013.	BMJ Open.  2013	PubMed	citation	PMID:23299113 | PMCID:PMC3549220	pubmed	23299113	create date:2013/01/10 | first author:Martinez C
148	Darren	1	1	1	0	0	0	1	Recorded quality of primary care for patients with diabetes in England before and after the introduction of a financial incentive scheme: a longitudinal observational study.	/pubmed/22918988	"Kontopantelis E, Reeves D, Valderas JM, Campbell S, Doran T."	BMJ Qual Saf. 2013 Jan;22(1):53-64. doi: 10.1136/bmjqs-2012-001033. Epub 2012 Aug 22.	BMJ Qual Saf.  2013	PubMed	citation	PMID:22918988	pubmed	22918988	create date:2012/08/25 | first author:Kontopantelis E
149	Dave	1	1	0	0	0	0	0	The risk of adverse outcomes in association with use of testosterone products: a cohort study using the UK-based general practice research database.	/pubmed/22574772	"Jick SS, Hagberg KW."	Br J Clin Pharmacol. 2013 Jan;75(1):260-70. doi: 10.1111/j.1365-2125.2012.04326.x.	Br J Clin Pharmacol.  2013	PubMed	citation	PMID:22574772 | PMCID:PMC3555066	pubmed	22574772	create date:2012/05/12 | first author:Jick SS
150	Ivan	1	1	0	0	0	0	0	Pioglitazone and bladder cancer: a propensity score matched cohort study.	/pubmed/22574756	"Wei L, MacDonald TM, Mackenzie IS."	Br J Clin Pharmacol. 2013 Jan;75(1):254-9. doi: 10.1111/j.1365-2125.2012.04325.x.	Br J Clin Pharmacol.  2013	PubMed	citation	PMID:22574756 | PMCID:PMC3555065	pubmed	22574756	create date:2012/05/12 | first author:Wei L
151	Rosa	1	1	0	0	0	0	1	Risk of childhood cancer with symptoms in primary care: a population-based case-control study.	/pubmed/23336454	"Dommett RM, Redaniel T, Stevens MC, Martin RM, Hamilton W."	Br J Gen Pract. 2013 Jan;63(606):e22-9. doi: 10.3399/bjgp13X660742.	Br J Gen Pract.  2013	PubMed	citation	PMID:23336454 | PMCID:PMC3529289	pubmed	23336454	create date:2013/01/23 | first author:Dommett RM
152	Rosa	1	1	0	1	0	0	0	Symptoms and risk factors to identify women with suspected cancer in primary care: derivation and validation of an algorithm.	/pubmed/23336450	"Hippisley-Cox J, Coupland C."	Br J Gen Pract. 2013 Jan;63(606):e11-21. doi: 10.3399/bjgp13X660733.	Br J Gen Pract.  2013	PubMed	citation	PMID:23336450 | PMCID:PMC3529288	pubmed	23336450	create date:2013/01/23 | first author:Hippisley-Cox J
153	Evan	1	1	1	0	0	0	0	Symptoms and risk factors to identify men with suspected cancer in primary care: derivation and validation of an algorithm.	/pubmed/23336443	"Hippisley-Cox J, Coupland C."	Br J Gen Pract. 2013 Jan;63(606):e1-10. doi: 10.3399/bjgp13X660724.	Br J Gen Pract.  2013	PubMed	citation	PMID:23336443 | PMCID:PMC3529287	pubmed	23336443	create date:2013/01/23 | first author:Hippisley-Cox J
154	Darren	1	1	0	0	0	0	0	The association between smoking quantity and lung cancer in men and women.	/pubmed/22797799	"Powell HA, Iyen-Omofoman B, Hubbard RB, Baldwin DR, Tata LJ."	Chest. 2013 Jan;143(1):123-9.	Chest.  2013	PubMed	citation	PMID:22797799	pubmed	22797799	create date:2012/07/17 | first author:Powell HA
156	Evan	1	1	1	0	0	0	1	Health care costs before and after diagnosis of depression in patients with unexplained pain: a retrospective cohort study using the United Kingdom General Practice Research Database.	/pubmed/23355787	"Reed C, Hong J, Novick D, Lenox-Smith A, Happich M."	Clinicoecon Outcomes Res. 2013;5:37-47. Epub 2013 Jan 14.	Clinicoecon Outcomes Res.  2013	PubMed	citation	PMID:23355787 | PMCID:PMC3552476	pubmed	23355787	create date:2013/01/29 | first author:Reed C
158	Dave	0	1	NA	NA	NA	NA	NA	Temporal trends of Barrett's oesophagus and gastro-oesophageal reflux and related oesophageal cancer over a 10-year period in England and Wales and associated proton pump inhibitor and H2RA prescriptions: a GPRD study.	/pubmed/23022985	"Alexandropoulou K, van Vlymen J, Reid F, Poullis A, Kang JY."	Eur J Gastroenterol Hepatol. 2013 Jan;25(1):15-21. doi: 10.1097/MEG.0b013e3283595086.	Eur J Gastroenterol Hepatol.  2013	PubMed	citation	PMID:23022985	pubmed	23022985	create date:2012/10/02 | first author:Alexandropoulou K
159	Dave	1	1	1	1	0	0	0	Risk of fracture with thiazolidinediones: an individual patient data meta-analysis.	/pubmed/23549934	"Bazelier MT, de Vries F, Vestergaard P, Herings RM, Gallagher AM, Leufkens HG, van Staa TP."	Front Endocrinol (Lausanne). 2013;4:11. doi: 10.3389/fendo.2013.00011.	Front Endocrinol (Lausanne).  2013	PubMed	citation	PMID:23549934 | PMCID:PMC3582108	pubmed	23549934	create date:2013/04/04 | first author:Bazelier MT
161	Darren	0	NA	NA	NA	NA	NA	NA	"Epidemiology, co-morbidities, and medication use of patients with Alzheimer's disease or vascular dementia in the UK."	/pubmed/23455986	"Imfeld P, Brauchli Pernus YB, Jick SS, Meier CR."	J Alzheimers Dis. 2013 Jan 1;35(3):565-73. doi: 10.3233/JAD-121819.	J Alzheimers Dis.  2013	PubMed	citation	PMID:23455986	pubmed	23455986	create date:2013/03/05 | first author:Imfeld P
163	Evan	1	1	1	0	0	0	0	Chronic obstructive pulmonary disease and risk of lung cancer: the importance of smoking and timing of diagnosis.	/pubmed/23196277	"Powell HA, Iyen-Omofoman B, Baldwin DR, Hubbard RB, Tata LJ."	J Thorac Oncol. 2013 Jan;8(1):6-11. doi: 10.1097/JTO.0b013e318274a7dc.	J Thorac Oncol.  2013	PubMed	citation	PMID:23196277	pubmed	23196277	create date:2012/12/01 | first author:Powell HA
166	Evan	1	1	0	0	0	0	0	Identifying periods of acceptable computer usage in primary care research databases.	/pubmed/23124958	"Horsfall L, Walters K, Petersen I."	Pharmacoepidemiol Drug Saf. 2013 Jan;22(1):64-9. doi: 10.1002/pds.3368. Epub 2012 Nov 4.	Pharmacoepidemiol Drug Saf.  2013	PubMed	citation	PMID:23124958	pubmed	23124958	create date:2012/11/06 | first author:Horsfall L
168	Rosa	1	1	1	0	0	0	0	Excess long-term mortality following non-variceal upper gastrointestinal bleeding: a population-based cohort study.	/pubmed/23637580	"Crooks CJ, Card TR, West J."	PLoS Med. 2013;10(4):e1001437. doi: 10.1371/journal.pmed.1001437. Epub 2013 Apr 30.	PLoS Med.  2013	PubMed	citation	PMID:23637580 | PMCID:PMC3640094	pubmed	23637580	create date:2013/05/03 | first author:Crooks CJ
