"PCD_ID" "fulltext" "primary_research" "methods_strategy" "methods_codes" "code_list" "all_codes" "available_on_request" "Title" "URL" "Description" "Details" "ShortDetails" "Resource" "Type" "Identifiers" "Db" "EntrezUID" "Properties" "anycodes" "anyorrequest" "year"
"50" 150 1 1 0 0 0 0 0 "Pioglitazone and bladder cancer: a propensity score matched cohort study." "/pubmed/22574756" "Wei L, MacDonald TM, Mackenzie IS." "Br J Clin Pharmacol. 2013 Jan;75(1):254-9. doi: 10.1111/j.1365-2125.2012.04325.x." "Br J Clin Pharmacol.  2013" "PubMed" "citation" "PMID:22574756 | PMCID:PMC3555065" "pubmed" 22574756 "create date:2012/05/12 | first author:Wei L" 0 0 2012
"51" 151 1 1 0 0 0 0 1 "Risk of childhood cancer with symptoms in primary care: a population-based case-control study." "/pubmed/23336454" "Dommett RM, Redaniel T, Stevens MC, Martin RM, Hamilton W." "Br J Gen Pract. 2013 Jan;63(606):e22-9. doi: 10.3399/bjgp13X660742." "Br J Gen Pract.  2013" "PubMed" "citation" "PMID:23336454 | PMCID:PMC3529289" "pubmed" 23336454 "create date:2013/01/23 | first author:Dommett RM" 0 1 2013
"52" 152 1 1 0 1 0 0 0 "Symptoms and risk factors to identify women with suspected cancer in primary care: derivation and validation of an algorithm." "/pubmed/23336450" "Hippisley-Cox J, Coupland C." "Br J Gen Pract. 2013 Jan;63(606):e11-21. doi: 10.3399/bjgp13X660733." "Br J Gen Pract.  2013" "PubMed" "citation" "PMID:23336450 | PMCID:PMC3529288" "pubmed" 23336450 "create date:2013/01/23 | first author:Hippisley-Cox J" 1 1 2013
"53" 153 1 1 1 0 0 0 0 "Symptoms and risk factors to identify men with suspected cancer in primary care: derivation and validation of an algorithm." "/pubmed/23336443" "Hippisley-Cox J, Coupland C." "Br J Gen Pract. 2013 Jan;63(606):e1-10. doi: 10.3399/bjgp13X660724." "Br J Gen Pract.  2013" "PubMed" "citation" "PMID:23336443 | PMCID:PMC3529287" "pubmed" 23336443 "create date:2013/01/23 | first author:Hippisley-Cox J" 0 0 2013
"54" 154 1 1 0 0 0 0 0 "The association between smoking quantity and lung cancer in men and women." "/pubmed/22797799" "Powell HA, Iyen-Omofoman B, Hubbard RB, Baldwin DR, Tata LJ." "Chest. 2013 Jan;143(1):123-9." "Chest.  2013" "PubMed" "citation" "PMID:22797799" "pubmed" 22797799 "create date:2012/07/17 | first author:Powell HA" 0 0 2012
"55" 156 1 1 1 0 0 0 1 "Health care costs before and after diagnosis of depression in patients with unexplained pain: a retrospective cohort study using the United Kingdom General Practice Research Database." "/pubmed/23355787" "Reed C, Hong J, Novick D, Lenox-Smith A, Happich M." "Clinicoecon Outcomes Res. 2013;5:37-47. Epub 2013 Jan 14." "Clinicoecon Outcomes Res.  2013" "PubMed" "citation" "PMID:23355787 | PMCID:PMC3552476" "pubmed" 23355787 "create date:2013/01/29 | first author:Reed C" 0 1 2013
"57" 159 1 1 1 1 0 0 0 "Risk of fracture with thiazolidinediones: an individual patient data meta-analysis." "/pubmed/23549934" "Bazelier MT, de Vries F, Vestergaard P, Herings RM, Gallagher AM, Leufkens HG, van Staa TP." "Front Endocrinol (Lausanne). 2013;4:11. doi: 10.3389/fendo.2013.00011." "Front Endocrinol (Lausanne).  2013" "PubMed" "citation" "PMID:23549934 | PMCID:PMC3582108" "pubmed" 23549934 "create date:2013/04/04 | first author:Bazelier MT" 1 1 2013
"59" 163 1 1 1 0 0 0 0 "Chronic obstructive pulmonary disease and risk of lung cancer: the importance of smoking and timing of diagnosis." "/pubmed/23196277" "Powell HA, Iyen-Omofoman B, Baldwin DR, Hubbard RB, Tata LJ." "J Thorac Oncol. 2013 Jan;8(1):6-11. doi: 10.1097/JTO.0b013e318274a7dc." "J Thorac Oncol.  2013" "PubMed" "citation" "PMID:23196277" "pubmed" 23196277 "create date:2012/12/01 | first author:Powell HA" 0 0 2012
"60" 166 1 1 0 0 0 0 0 "Identifying periods of acceptable computer usage in primary care research databases." "/pubmed/23124958" "Horsfall L, Walters K, Petersen I." "Pharmacoepidemiol Drug Saf. 2013 Jan;22(1):64-9. doi: 10.1002/pds.3368. Epub 2012 Nov 4." "Pharmacoepidemiol Drug Saf.  2013" "PubMed" "citation" "PMID:23124958" "pubmed" 23124958 "create date:2012/11/06 | first author:Horsfall L" 0 0 2012
"61" 168 1 1 1 0 0 0 0 "Excess long-term mortality following non-variceal upper gastrointestinal bleeding: a population-based cohort study." "/pubmed/23637580" "Crooks CJ, Card TR, West J." "PLoS Med. 2013;10(4):e1001437. doi: 10.1371/journal.pmed.1001437. Epub 2013 Apr 30." "PLoS Med.  2013" "PubMed" "citation" "PMID:23637580 | PMCID:PMC3640094" "pubmed" 23637580 "create date:2013/05/03 | first author:Crooks CJ" 0 0 2013
"62" 171 1 1 1 0 1 1 0 "Optimising use of electronic health records to describe the presentation of rheumatoid arthritis in primary care: a strategy for developing code lists." "/pubmed/23451024" "Nicholson A, Ford E, Davies KA, Smith HE, Rait G, Tate AR, Petersen I, Cassell J." "PLoS One. 2013;8(2):e54878. doi: 10.1371/journal.pone.0054878. Epub 2013 Feb 22." "PLoS One.  2013" "PubMed" "citation" "PMID:23451024 | PMCID:PMC3579840" "pubmed" 23451024 "create date:2013/03/02 | first author:Nicholson A" 1 1 2013
"63" 175 1 1 1 1 1 0 0 "Relative incidence of common cancers in people with severe mental illness. Cohort study in the United Kingdom THIN primary care database." "/pubmed/23218562" "Osborn DP, Limburg H, Walters K, Petersen I, King M, Green J, Watson J, Nazareth I." "Schizophr Res. 2013 Jan;143(1):44-9. doi: 10.1016/j.schres.2012.11.009. Epub 2012 Dec 5." "Schizophr Res.  2013" "PubMed" "citation" "PMID:23218562" "pubmed" 23218562 "create date:2012/12/12 | first author:Osborn DP" 1 1 2012
"64" 177 1 1 1 1 1 0 0 "Costs associated with treatment of chronic low back pain: an analysis of the UK General Practice Research Database." "/pubmed/23038621" "Hong J, Reed C, Novick D, Happich M." "Spine (Phila Pa 1976). 2013 Jan 1;38(1):75-82. doi: 10.1097/BRS.0b013e318276450f." "Spine (Phila Pa 1976).  2013" "PubMed" "citation" "PMID:23038621" "pubmed" 23038621 "create date:2012/10/06 | first author:Hong J" 1 1 2012
"65" 179 1 1 0 0 0 0 0 "Evaluating the hazard of foetal death following H1N1 influenza vaccination; a population based cohort study in the UK GPRD." "/pubmed/23341865" "Sammon CJ, Snowball J, McGrogan A, de Vries CS." "PLoS One. 2012 Dec 20;7(12):e51734. doi: 10.1371/journal.pone.0051734. Epub 2012 Dec 10." "PLoS One.  2012" "PubMed" "citation" "PMID:23341865 | PMCID:PMC3541601" "pubmed" 23341865 "create date:2013/01/24 | first author:Sammon CJ" 0 0 2013
"66" 185 1 1 1 0 0 0 0 "Children at risk of medicinal and non-medicinal poisoning: a population-based case-control study in general practice." "/pubmed/23211263" "Tyrrell EG, Orton E, Tata LJ, Kendrick D." "Br J Gen Pract. 2012 Dec;62(605):e827-33. doi: 10.3399/bjgp12X659303." "Br J Gen Pract.  2012" "PubMed" "citation" "PMID:23211263 | PMCID:PMC3505416" "pubmed" 23211263 "create date:2012/12/06 | first author:Tyrrell EG" 0 0 2012
"68" 190 1 1 0 0 0 0 1 "Comorbidities in Perthes' disease: a case control study using the General Practice Research database." "/pubmed/23188912" "Perry DC, Bruce CE, Pope D, Dangerfield P, Platt MJ, Hall AJ." "J Bone Joint Surg Br. 2012 Dec;94(12):1684-9. doi: 10.1302/0301-620X.94B12.29974." "J Bone Joint Surg Br.  2012" "PubMed" "citation" "PMID:23188912" "pubmed" 23188912 "create date:2012/11/29 | first author:Perry DC" 0 1 2012
"69" 192 1 1 1 0 0 0 0 "Influenza infection and risk of acute myocardial infarction in England and Wales: a CALIBER self-controlled case series study." "/pubmed/23048170" "Warren-Gash C, Hayward AC, Hemingway H, Denaxas S, Thomas SL, Timmis AD, Whitaker H, Smeeth L." "J Infect Dis. 2012 Dec 1;206(11):1652-9. doi: 10.1093/infdis/jis597. Epub 2012 Oct 9." "J Infect Dis.  2012" "PubMed" "citation" "PMID:23048170 | PMCID:PMC3488196" "pubmed" 23048170 "create date:2012/10/11 | first author:Warren-Gash C" 0 0 2012
"70" 193 1 1 0 0 0 0 0 "Body mass index and obstructive sleep apnoea in the UK: a cross-sectional study of the over-50s." "/pubmed/22751736" "Wall H, Smith C, Hubbard R." "Prim Care Respir J. 2012 Dec;21(4):371-6. doi: 10.4104/pcrj.2012.00053." "Prim Care Respir J.  2012" "PubMed" "citation" "PMID:22751736" "pubmed" 22751736 "create date:2012/07/04 | first author:Wall H" 0 0 2012
