"","code","coding_system","description","entity","list_name","upload_date","incidence.percentage","prevalence.percentage"
"38","G32..11","Read","Healed myocardial infarction","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0.01,0
"39","G32..12","Read","Personal history of myocardial infarction","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0.03,0.08
"40","G344.00","Read","Silent myocardial ischaemia","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0.03,0
"41","G35..00","Read","Subsequent myocardial infarction","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0,0.01
"42","G350.00","Read","Subsequent myocardial infarction of anterior wall","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0,0
"43","G351.00","Read","Subsequent myocardial infarction of inferior wall","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0.02,0
"44","G360.00","Read","Haemopericardium/current comp folow acut myocard infarct","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0.01,0
"45","G361.00","Read","Atrial septal defect/curr comp folow acut myocardal infarct","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0,0
"46","G38..00","Read","Postoperative myocardial infarction","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0.02,0.01
"47","G381.00","Read","Postoperative transmural myocardial infarction inferior wall","diagnostic","143 - res12: Myocardial_infarction","2014-07-10",0,0
