"","code","coding_system","description","entity","list_name","upload_date","BNF_code","BNF_header","drug_substance_name"
"15",10723,"CPRD_product_code","THEOPHYLLINE syrp 125mg/5ml","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE SODIUM GLYCINATE"
"16",10744,"CPRD_product_code","THEOPHYLLINE 80 MG ELI","drug","38 - asthma_drugs","2014-01-27",0,"",""
"17",10812,"CPRD_product_code","ZADITEN caps 1mg","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","KETOTIFEN HYDROGEN FUMARATE"
"18",10813,"CPRD_product_code","KETOTIFEN caps 1mg","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","KETOTIFEN HYDROGEN FUMARATE"
"19",10831,"CPRD_product_code","BIOPHYLLINE syrp 125mg/5ml","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE SODIUM GLYCINATE"
"20",1087,"CPRD_product_code","ASMASAL CLICKHALER dry pdr inh 95micrograms","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"21",1093,"CPRD_product_code","SALAMOL inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"22",10958,"CPRD_product_code","SALBUTAMOL .25 MG INJ","drug","38 - asthma_drugs","2014-01-27",0,"",""
"23",10968,"CPRD_product_code","FORADIL inh caps 12mcg","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FORMOTEROL FUMARATE"
"24",1097,"CPRD_product_code","SLO-PHYLLIN caps 60mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE"
"25",1100,"CPRD_product_code","BECLAZONE inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"26",11046,"CPRD_product_code","IPRATROPIUM BROMIDE + SALBUTAMOL unit dose neb soln 500micrograms + 2.5mg/2.5ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"27",11198,"CPRD_product_code","BECLOMETASONE vortex inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"28",11307,"CPRD_product_code","SALBUTAMOL + BECLOMETASONE inh 100mcg + 50mcg","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL"
"29",11410,"CPRD_product_code","FLUTICASONE + SALMETEROL dry pdr inh 500micrograms + 50micrograms/inhalation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FLUTICASONE PROPIONATE"
"30",11478,"CPRD_product_code","FLUTICASONE unit dose neb susp 2mg/2ml","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","FLUTICASONE PROPIONATE"
"31",11497,"CPRD_product_code","BECLOMETASONE breath act pwdr inh 400micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"32",11588,"CPRD_product_code","FLUTICASONE + SALMETEROL cfc free inh 125micrograms + 25micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","SALMETEROL XINAFOATE"
"33",11618,"CPRD_product_code","FLUTICASONE + SALMETEROL cfc free inh 250micrograms + 25micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALMETEROL XINAFOATE"
"34",11719,"CPRD_product_code","SLO-PHYLLIN caps 60mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE"
"35",11732,"CPRD_product_code","BECLOMETASONE EXTRAFINE PARTICLE cfc/free b/act inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"36",11779,"CPRD_product_code","IPRATROPIUM BROMIDE caps + inh 40mcg","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"37",11993,"CPRD_product_code","PRO-VENT caps 300mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE"
"38",12042,"CPRD_product_code","VENTOLIN CR tabs 8mg","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"39",12144,"CPRD_product_code","BAMBUTEROL tabs 20mg","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","BAMBUTEROL HYDROCHLORIDE"
"40",12240,"CPRD_product_code","THEOPHYLLINE mr cap 300mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE"
"41",12274,"CPRD_product_code","TEDRAL tabs","drug","38 - asthma_drugs","2014-01-27",3010400,"Compound bronchodilator preparations","THEOPHYLLINE"
"42",1236,"CPRD_product_code","BECLOFORTE inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"43",1242,"CPRD_product_code","BECLOMETASONE inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"44",1243,"CPRD_product_code","BECLAZONE EASI-BREATHE breath act inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"45",1258,"CPRD_product_code","BECOTIDE 200 inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"46",1259,"CPRD_product_code","BECLOMETASONE inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"47",12633,"CPRD_product_code","TILARIN nasal spray 1%","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","NEDOCROMIL SODIUM"
"48",1269,"CPRD_product_code","BECOTIDE neb susp 50micrograms/ml","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"49",12699,"CPRD_product_code","PECRAM sr tab 225mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE"
"50",12808,"CPRD_product_code","FENOTEROL + IPRATROPIUM BROMIDE breath act inh 100micrograms + 40micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","IPRATROPIUM BROMIDE"
"51",12822,"CPRD_product_code","SALBUTAMOL + IPRATROPIUM BROMIDE unit dose neb soln 2.5mg + 500micrograms/2.5ml","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"52",12909,"CPRD_product_code","SALBUTAMOL + IPRATROPIUM BROMIDE inh 100micrograms + 20micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010400,"Compound bronchodilator preparations","IPRATROPIUM BROMIDE"
"53",12994,"CPRD_product_code","FLUTICASONE + SALMETEROL cfc free inh 50micrograms + 25micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FLUTICASONE PROPIONATE"
"54",13037,"CPRD_product_code","PULVINAL BECLOMETASONE DIPROPIONATE breath act pwdr inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"55",13038,"CPRD_product_code","PULVINAL SALBUTAMOL breath act pwdr inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"56",13040,"CPRD_product_code","FLUTICASONE + SALMETEROL dry pdr inh 250micrograms + 50micrograms/inhalation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FLUTICASONE PROPIONATE"
"57",13181,"CPRD_product_code","EASYHALER SALBUTAMOL breath act pwdr inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"58",13256,"CPRD_product_code","NEDOCROMIL SODIUM cfc free inh 2mg/inhalation","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","NEDOCROMIL SODIUM"
"59",13273,"CPRD_product_code","FLUTICASONE + SALMETEROL dry pdr inh 100micrograms + 50micrograms/inhalation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FLUTICASONE PROPIONATE"
"60",13290,"CPRD_product_code","CLENIL MODULITE cfc free inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"61",13307,"CPRD_product_code","BRICANYL inj 500micrograms/ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","TERBUTALINE SULPHATE"
"62",13365,"CPRD_product_code","BEROTEC neb soln 5mg/ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FENOTEROL HYDROBROMIDE"
"63",1346,"CPRD_product_code","SALBUTAMOL inj 0.05mg/ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"64",13529,"CPRD_product_code","AMNIVENT sr tab 225mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE"
"65",13575,"CPRD_product_code","BAMBEC tabs 20mg","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","BAMBUTEROL HYDROCHLORIDE"
"66",13757,"CPRD_product_code","TROPIOVENT STERIPOULE unit dose neb soln 250micrograms/ml","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"67",13815,"CPRD_product_code","BECLAZONE inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"68",13996,"CPRD_product_code","SALAMOL cfc free inh 100micrograms/inhalation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"69",1406,"CPRD_product_code","BECOTIDE 50 inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"70",1409,"CPRD_product_code","IPRATROPIUM BROMIDE inh 20micrograms/dose","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"71",1410,"CPRD_product_code","IPRATROPIUM BROMIDE neb soln 0.25mg/ml","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"72",1411,"CPRD_product_code","IPRATROPIUM BROMIDE unit dose neb soln 250micrograms/ml","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"73",1412,"CPRD_product_code","FLIXOTIDE inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","FLUTICASONE PROPIONATE"
"74",1414,"CPRD_product_code","STERI-NEB SALAMOL unit dose neb soln 5mg/2.5ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"75",1415,"CPRD_product_code","STERI-NEB IPRATROPIUM unit dose neb soln 250micrograms/ml","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"76",1422,"CPRD_product_code","CROMOGEN inh 5mg/inhalation","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","SODIUM CROMOGLICATE"
"77",1423,"CPRD_product_code","UNIPHYLLIN CONTINUS tabs 200mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE"
"78",1424,"CPRD_product_code","FLIXOTIDE disc 250micrograms","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","FLUTICASONE PROPIONATE"
"79",1426,"CPRD_product_code","FLIXOTIDE disc 500micrograms","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","FLUTICASONE PROPIONATE"
"80",14294,"CPRD_product_code","QVAR EASI-BREATHE cfc/free b/act inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"81",14306,"CPRD_product_code","FORMOTEROL FUMARATE cfc free inh 12micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","FORMOTEROL FUMARATE"
"82",14321,"CPRD_product_code","BECLOMETASONE cfc free inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"83",14448,"CPRD_product_code","NEDOCROMIL SODIUM nasal spray 1%","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","NEDOCROMIL SODIUM"
"84",14483,"CPRD_product_code","TERBUTALINE inj 500micrograms/ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","TERBUTALINE SULPHATE"
"85",14524,"CPRD_product_code","BDP spacehaler 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"86",14525,"CPRD_product_code","SALBUTAMOL vortex inh 100micrograms/inhalation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL"
"87",14527,"CPRD_product_code","BAMBEC tabs 10mg","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","BAMBUTEROL HYDROCHLORIDE"
"88",14561,"CPRD_product_code","SALBUTAMOL + BECLOMETASONE inh caps 400micrograms + 200micrograms","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"89",14567,"CPRD_product_code","ASMABEC CLICKHALER dry pdr inh 250micrograms","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"90",14590,"CPRD_product_code","ASMABEC spacehaler 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"91",14603,"CPRD_product_code","SODIUM CROMOGLICATE inh & spacer 5mg/actuation","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","SODIUM CROMOGLICATE"
"92",14700,"CPRD_product_code","BUDESONIDE inh 400micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BUDESONIDE"
"93",14736,"CPRD_product_code","PULVINAL BECLOMETASONE DIPROPIONATE breath act pwdr inh 400micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"94",14739,"CPRD_product_code","NORPHYLLIN SR tablets 225mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE"
"95",14757,"CPRD_product_code","PULVINAL BECLOMETASONE DIPROPIONATE breath act pwdr inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"96",14991,"CPRD_product_code","AMINOPHYLLINE inj 250mg/10ml","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE"
"97",15025,"CPRD_product_code","AMINOPHYLLINE 25 MG SUP","drug","38 - asthma_drugs","2014-01-27",0,"",""
"98",15153,"CPRD_product_code","THEOPHYLLINE + EPHEDRINE HCl tabs 120mg + 11mg","drug","38 - asthma_drugs","2014-01-27",3010400,"Compound bronchodilator preparations","THEOPHYLLINE"
"99",1518,"CPRD_product_code","FLIXOTIDE inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","FLUTICASONE PROPIONATE"
"100",15284,"CPRD_product_code","SLO-PHYLLIN caps 125mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE"
"101",15326,"CPRD_product_code","BECLOMETASONE cfc free inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"102",15365,"CPRD_product_code","THEOPHYLLINE sf elixir 10mg/5ml","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","THEOPHYLLINE SODIUM GLYCINATE"
"103",1537,"CPRD_product_code","BECOTIDE rcap 200micrograms","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"104",15409,"CPRD_product_code","THEOPHYLLINE 3 MG SOL","drug","38 - asthma_drugs","2014-01-27",0,"",""
"105",15441,"CPRD_product_code","FENOTEROL HYDROBROMIDE .5 % SOL","drug","38 - asthma_drugs","2014-01-27",0,"",""
"106",15483,"CPRD_product_code","BRICANYL expectorant","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","TERBUTALINE SULPHATE"
"107",1551,"CPRD_product_code","BECLAZONE inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"108",1552,"CPRD_product_code","BECLOFORTE EASI-BREATHE breath act inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"109",15613,"CPRD_product_code","SALBUTAMOL inj 0.5mg/ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"110",15706,"CPRD_product_code","BECLOMETASONE vortex inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"111",15765,"CPRD_product_code","SODIUM CROMOGLICATE inh & spacer 5mg/inhalation","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","SODIUM CROMOGLICATE"
"112",16018,"CPRD_product_code","MOMETASONE FUROATE dry pdr inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","MOMETASONE FUROATE"
"113",16054,"CPRD_product_code","BUDESONIDE REFILLABLE breath act pwdr inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BUDESONIDE"
"114",16148,"CPRD_product_code","CLENIL MODULITE cfc free inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"115",16151,"CPRD_product_code","CLENIL MODULITE cfc free inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"116",16158,"CPRD_product_code","CLENIL MODULITE cfc free inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"117",1619,"CPRD_product_code","TERBUTALINE breath act inh 500micrograms","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","TERBUTALINE SULPHATE"
"118",1620,"CPRD_product_code","TERBUTALINE inh 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","TERBUTALINE SULPHATE"
"119",16207,"CPRD_product_code","DUOVENT UDVs neb soln","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","FENOTEROL HYDROBROMIDE"
"120",1628,"CPRD_product_code","TERBUTALINE refill canister 250micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","TERBUTALINE SULPHATE"
"121",1629,"CPRD_product_code","INTAL neb soln 10mg/ml","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","SODIUM CROMOGLICATE"
"122",1630,"CPRD_product_code","SALBUTAMOL unit dose neb soln 2.5mg/2.5ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"123",16305,"CPRD_product_code","FLIXOTIDE NEBULES 2mg/2ml","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","FLUTICASONE PROPIONATE"
"124",1635,"CPRD_product_code","SALBUVENT syrp 2mg/5ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"125",1642,"CPRD_product_code","BUDESONIDE breath act pwdr inh 400micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BUDESONIDE"
"126",16433,"CPRD_product_code","ASMANEX TWISTHALER dry pdr inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","MOMETASONE FUROATE"
"127",16577,"CPRD_product_code","EASYHALER SALBUTAMOL breath act pwdr inh 200micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"128",16584,"CPRD_product_code","BECLOMETASONE cfc free inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
"129",16625,"CPRD_product_code","VENTIDE rcap","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","BECLOMETASONE DIPROPIONATE"
"130",1676,"CPRD_product_code","FLIXOTIDE inh 125micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","FLUTICASONE PROPIONATE"
"131",1680,"CPRD_product_code","PULMICORT LS inh 50micrograms","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BUDESONIDE"
"132",1683,"CPRD_product_code","INTAL scap","drug","38 - asthma_drugs","2014-01-27",3030100,"Cromoglicate and related therapy","SODIUM CROMOGLICATE"
"133",1697,"CPRD_product_code","ATROVENT AUTOHALER breath act inh 20micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010200,"Antimuscarinic bronchodilators","IPRATROPIUM BROMIDE"
"134",1698,"CPRD_product_code","SALBUTAMOL breath act inh 100micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"135",16994,"CPRD_product_code","AMINOPHYLLINE HYDRATE mr tab 350mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE HYDRATE"
"136",17,"CPRD_product_code","SALBUTAMOL cfc free inh 100micrograms/inhalation","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"137",17002,"CPRD_product_code","AMINOPHYLLINE HYDRATE mr tab 225mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE HYDRATE"
"138",1711,"CPRD_product_code","SALBUTAMOL unit dose neb soln 5mg/2.5ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"139",17140,"CPRD_product_code","AMINOPHYLLINE tabs 200mg","drug","38 - asthma_drugs","2014-01-27",3010300,"Theophylline","AMINOPHYLLINE"
"140",17185,"CPRD_product_code","VENTOLIN inj 500micrograms/ml","drug","38 - asthma_drugs","2014-01-27",3010101,"Selective beta-2-agonists","SALBUTAMOL SULPHATE"
"141",1725,"CPRD_product_code","BECLAZONE EASI-BREATHE breath act inh 50micrograms/actuation","drug","38 - asthma_drugs","2014-01-27",3020000,"Corticosteroids (inhaled for respiratory conditions)","BECLOMETASONE DIPROPIONATE"
